test_row_index,label,prediction,probability
1,0,0,
2,0,0,
3,1,1,
4,0,0,
5,0,0,
6,1,0,
7,1,1,
8,0,0,
9,1,1,
10,1,0,
11,1,0,
12,1,1,
13,1,1,
14,0,0,
15,0,0,
16,0,0,
17,1,1,
18,0,1,
19,1,1,
20,0,0,
21,1,1,
22,1,1,
23,1,1,
24,0,0,
25,0,0,
26,1,1,
27,0,0,
28,0,0,
29,0,0,
30,0,0,
31,0,0,
32,1,1,
33,1,1,
34,1,1,
35,0,0,
36,0,1,
37,1,1,
38,1,1,
39,1,1,
40,1,0,
41,0,0,
42,1,1,
43,0,0,
44,1,1,
45,1,1,
46,0,0,
47,0,0,
48,0,0,
49,0,0,
50,1,1,
51,1,1,
52,0,0,
53,0,0,
54,0,1,
55,1,1,
56,0,0,
57,0,1,
58,1,1,
59,1,1,
60,0,0,
61,1,1,
62,0,1,
63,0,0,
64,1,1,
65,0,1,
66,1,1,
67,1,1,
68,0,0,
69,1,1,
70,0,0,
71,0,1,
72,1,0,
73,0,0,
74,1,1,
75,0,0,
76,0,1,
77,1,1,
78,0,0,
79,1,1,
80,1,1,
81,0,0,
82,0,1,
83,0,0,
84,0,0,
85,0,0,
86,0,0,
87,0,0,
88,0,0,
89,0,0,
90,1,0,
91,1,1,
92,0,1,
93,1,1,
94,1,1,
95,1,1,
96,1,1,
97,0,0,
98,1,1,
99,1,1,
100,1,1,
101,0,0,
102,1,1,
103,0,0,
104,0,0,
105,1,0,
106,1,1,
107,1,1,
108,1,1,
109,0,0,
110,1,1,
111,0,0,
112,1,1,
113,1,1,
114,0,0,
115,0,0,
116,1,1,
117,0,0,
118,0,0,
119,0,0,
120,0,0,
121,1,1,
122,1,1,
123,0,0,
124,0,0,
125,0,0,
126,1,1,
127,1,0,
128,1,1,
129,1,0,
130,0,0,
131,0,1,
132,1,1,
133,1,1,
134,0,0,
135,1,0,
136,1,0,
137,0,1,
138,0,0,
139,0,0,
140,0,0,
141,1,1,
142,0,0,
143,1,1,
144,1,0,
145,1,1,
146,0,0,
147,1,0,
148,0,0,
149,0,0,
150,0,0,
151,0,1,
152,1,0,
153,0,0,
154,0,0,
155,1,1,
156,1,1,
157,0,0,
158,0,0,
159,0,0,
160,1,1,
161,1,1,
162,1,1,
163,0,0,
164,1,0,
165,0,0,
166,1,1,
167,1,1,
168,1,1,
169,1,1,
170,0,0,
171,1,1,
172,0,0,
173,0,0,
174,1,1,
175,0,0,
176,0,0,
177,1,1,
178,0,0,
179,1,0,
180,1,1,
181,0,0,
182,0,0,
183,0,1,
184,0,0,
185,1,1,
186,0,1,
187,0,0,
188,0,0,
189,0,0,
190,0,0,
191,0,1,
192,0,1,
193,1,1,
194,1,1,
195,1,1,
196,0,0,
197,1,1,
198,0,0,
199,0,1,
200,1,0,
201,1,1,
202,1,0,
203,1,1,
204,0,0,
205,1,1,
206,0,0,
207,1,1,
208,0,0,
209,0,0,
210,0,0,
211,1,1,
