path,language,start,end,word
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,0.0,0.264,So
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,0.304,0.406,the
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,0.447,0.913,question
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,0.934,1.096,"is,"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1.36,1.685,what's
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1.705,1.806,your
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,1.888,2.293,favorite
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,2.334,2.76,festival?
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,3.26,3.565,How
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,3.646,3.809,did
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,3.849,3.971,you
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,4.032,4.581,celebrate
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,4.622,4.967,your
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,5.048,5.333,last
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,5.394,5.8,festival?
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,6.3,6.608,What
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,6.711,6.854,do
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,6.895,7.018,you
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,7.101,7.326,feel
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,7.408,7.655,about
datasets\Corpus\adult\audio\test_split\AD09001.wav,en,7.716,7.881,that?
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0.0,0.223,How
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0.345,0.528,did
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0.752,0.894,you
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,0.955,1.463,celebrate
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1.524,1.707,your
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,1.829,2.093,last
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,2.194,2.58,festival?
datasets\Corpus\adult\audio\test_split\AD09004.wav,en,3.18,3.585,I
