path,whisper_language,whisper_result_text,whisper_result_raw,whisper_segment_id,whisper_segment_seek,whisper_segment_start,whisper_segment_end,whisper_segment_text,whisper_segment_tokens,whisper_segment_temperature,whisper_segment_avg_logprob,whisper_segment_compression_ratio,whisper_segment_no_speech_prob,whisper_segment_repr,whisper_segment_raw,whisperx_word,whisperx_word_start,whisperx_word_end,whisperx_word_score,whisperx_word_repr,whisperx_word_raw
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",So,0.0,0.264,0.76,"{'word': 'So', 'start': np.float64(0.0), 'end': np.float64(0.264), 'score': np.float64(0.76)}","{""word"": ""So"", ""start"": 0.0, ""end"": 0.264, ""score"": 0.76}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",the,0.304,0.406,0.928,"{'word': 'the', 'start': np.float64(0.304), 'end': np.float64(0.406), 'score': np.float64(0.928)}","{""word"": ""the"", ""start"": 0.304, ""end"": 0.406, ""score"": 0.928}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",question,0.447,0.913,0.875,"{'word': 'question', 'start': np.float64(0.447), 'end': np.float64(0.913), 'score': np.float64(0.875)}","{""word"": ""question"", ""start"": 0.447, ""end"": 0.913, ""score"": 0.875}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}","is,",0.934,1.096,0.529,"{'word': 'is,', 'start': np.float64(0.934), 'end': np.float64(1.096), 'score': np.float64(0.529)}","{""word"": ""is,"", ""start"": 0.934, ""end"": 1.096, ""score"": 0.529}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",what's,1.36,1.685,0.668,"{'word': ""what's"", 'start': np.float64(1.36), 'end': np.float64(1.685), 'score': np.float64(0.668)}","{""word"": ""what's"", ""start"": 1.36, ""end"": 1.685, ""score"": 0.668}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",your,1.705,1.806,0.503,"{'word': 'your', 'start': np.float64(1.705), 'end': np.float64(1.806), 'score': np.float64(0.503)}","{""word"": ""your"", ""start"": 1.705, ""end"": 1.806, ""score"": 0.503}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",favorite,1.888,2.293,0.927,"{'word': 'favorite', 'start': np.float64(1.888), 'end': np.float64(2.293), 'score': np.float64(0.927)}","{""word"": ""favorite"", ""start"": 1.888, ""end"": 2.293, ""score"": 0.927}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",0,0,0.0,2.74," So the question is, what's your favorite festival?","[50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 0, 'seek': 0, 'start': 0.0, 'end': 2.74, 'text': "" So the question is, what's your favorite festival?"", 'tokens': [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",festival?,2.334,2.76,0.494,"{'word': 'festival?', 'start': np.float64(2.334), 'end': np.float64(2.76), 'score': np.float64(0.494)}","{""word"": ""festival?"", ""start"": 2.334, ""end"": 2.76, ""score"": 0.494}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 1, 'seek': 0, 'start': 3.2600000000000002, 'end': 5.78, 'text': ' How did you celebrate your last festival?', 'tokens': [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",How,3.26,3.565,0.743,"{'word': 'How', 'start': np.float64(3.26), 'end': np.float64(3.565), 'score': np.float64(0.743)}","{""word"": ""How"", ""start"": 3.26, ""end"": 3.565, ""score"": 0.743}"
datasets\Corpus\adult\audio\test_split\AD09001.wav,en," So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?","{""text"": "" So the question is, what's your favorite festival? How did you celebrate your last festival? What do you feel about that?"", ""segments"": [{""id"": 0, ""seek"": 0, ""start"": 0.0, ""end"": 2.74, ""text"": "" So the question is, what's your favorite festival?"", ""tokens"": [50365, 407, 264, 1168, 307, 11, 437, 311, 428, 2954, 12091, 30, 50502], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}, {""id"": 2, ""seek"": 0, ""start"": 6.3, ""end"": 7.86, ""text"": "" What do you feel about that?"", ""tokens"": [50680, 708, 360, 291, 841, 466, 300, 30, 50758], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}], ""language"": ""en""}",1,0,3.2600000000000002,5.78, How did you celebrate your last festival?,"[50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654]",0.0,-0.18470917326031308,1.2346938775510203,0.0035441333893686533,"{'id': 1, 'seek': 0, 'start': 3.2600000000000002, 'end': 5.78, 'text': ' How did you celebrate your last festival?', 'tokens': [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], 'temperature': 0.0, 'avg_logprob': -0.18470917326031308, 'compression_ratio': 1.2346938775510203, 'no_speech_prob': 0.0035441333893686533}","{""id"": 1, ""seek"": 0, ""start"": 3.2600000000000002, ""end"": 5.78, ""text"": "" How did you celebrate your last festival?"", ""tokens"": [50528, 1012, 630, 291, 8098, 428, 1036, 12091, 30, 50654], ""temperature"": 0.0, ""avg_logprob"": -0.18470917326031308, ""compression_ratio"": 1.2346938775510203, ""no_speech_prob"": 0.0035441333893686533}",did,3.646,3.809,0.991,"{'word': 'did', 'start': np.float64(3.646), 'end': np.float64(3.809), 'score': np.float64(0.991)}","{""word"": ""did"", ""start"": 3.646, ""end"": 3.809, ""score"": 0.991}"
