experiment,half_duration,model,run,eer
c1_compare_baseline,2.0,tdnn,1,0.35135135135135137
c1_compare_baseline,2.0,final_model,1,0.22522522522522523
c1_compare_baseline,2.0,ecapatdnn,1,0.27927927927927926
c1_compare_baseline,2.0,redimnet,1,0.4009009009009009
c1_compare_baseline,2.0,sincnet,1,0.27927927927927926
c2_compare_1to2s,1.0,tdnn,1,0.34684684684684686
c2_compare_1to2s,1.5,tdnn,1,0.27927927927927926
c2_compare_1to2s,2.0,tdnn,1,0.3063063063063063
c2_compare_1to2s,1.0,final_model,1,0.3063063063063063
c2_compare_1to2s,1.5,final_model,1,0.2882882882882883
c2_compare_1to2s,2.0,final_model,1,0.2927927927927928
c2_compare_1to2s,1.0,ecapatdnn,1,0.44144144144144143
c2_compare_1to2s,1.5,ecapatdnn,1,0.44144144144144143
c2_compare_1to2s,2.0,ecapatdnn,1,0.42342342342342343
c2_compare_1to2s,1.0,redimnet,1,0.4369369369369369
c2_compare_1to2s,1.5,redimnet,1,0.4009009009009009
c2_compare_1to2s,2.0,redimnet,1,0.3738738738738739
c2_compare_1to2s,1.0,sincnet,1,0.25675675675675674
c2_compare_1to2s,1.5,sincnet,1,0.2747747747747748
c2_compare_1to2s,2.0,sincnet,1,0.25675675675675674
c3_compare_change_val_test_train,2.0,tdnn,1,0.10632183908045977
c3_compare_change_val_test_train,2.0,ecapatdnn,1,0.10057471264367816
c3_compare_change_val_test_train,2.0,redimnet,1,0.28735632183908044
c3_compare_change_val_test_train,2.0,sincnet,1,0.07758620689655173
