split,split_index,label,audio_rel_path,source_audio_path,speech_seconds,left_speech_seconds,right_speech_seconds,total_window_seconds
val,1,1,val/1.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.75,1.64,1.11,4.0
val,2,1,val/2.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,1.83,0.84,0.99,4.0
val,3,1,val/3.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.09,0.94,1.15,4.0
val,4,1,val/4.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.7,1.09,1.61,4.0
val,5,1,val/5.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,1.67,0.95,0.72,4.0
val,6,1,val/6.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.7,1.5,1.2,4.0
val,7,1,val/7.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.75,1.46,1.29,4.0
val,8,1,val/8.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.9,1.47,1.43,4.0
val,9,1,val/9.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,1.92,0.71,1.21,4.0
val,10,1,val/10.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.6799999999999997,1.24,1.44,4.0
val,11,1,val/11.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.37,1.05,1.32,4.0
val,12,1,val/12.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.5,1.32,1.18,4.0
val,13,1,val/13.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_003_1ijxo93rtijh2rzv.wav,2.41,1.41,1.0,4.0
val,14,1,val/14.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,2.8600000000000003,1.3,1.56,4.0
val,15,1,val/15.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,2.91,1.27,1.64,4.0
val,16,1,val/16.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,3.04,1.64,1.4,4.0
val,17,1,val/17.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,2.5300000000000002,1.33,1.2,4.0
val,18,1,val/18.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,2.4699999999999998,1.06,1.41,4.0
val,19,1,val/19.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,2.75,1.32,1.43,4.0
val,20,1,val/20.wav,datasets/audio_package_500/original_switch/hindi_english_train/orig_hindi_005_e1bxlstxjkqq7jap.wav,3.16,1.29,1.87,4.0
